Annotation_Accession,host,isolation_source,Manual_Annotation
GCA_003665335.1_ASM366533v1,NA,Natto,Food
GCA_002946475.1_ASM294647v1,Salsola stocksii,root endosphere,Plants
GCA_001936375.1_ASM193637v1,Cow,NA,Livestock
GCA_001029975.1_ASM102997v1,Homo sapiens,NA,Humans
GCA_000477515.1_Reference_Assembly,NA,yogurt,Food
GCA_003932715.1_ASM393271v1,NA,soil sample,Soil
GCA_005484805.1_ASM548480v1,NA,air,Terrestrial
GCA_002892245.1_ASM289224v1,NA,fish aquaculture,Human-impacted
GCA_001890185.1_ASM189018v1,NA,almond kernel (raw; variety carmel),Agriculture
GCA_003181095.1_ASM318109v1,Homo sapiens,NA,Humans
GCA_009035845.1_ASM903584v1,Homo sapiens,Urine,Humans
GCA_003047105.1_ASM304710v1,NA,marine sediments,Sediment
GCA_001187705.1_ASM118770v1,cotton,Cotton boll,Agriculture
GCA_010183625.1_ASM1018362v1,Homo sapiens,sputum,Humans
GCA_003721495.1_ASM372149v1,Antho dichotoma,NA,Animals
GCA_004919425.1_ASM491942v1,Homo sapiens,NA,Humans
GCA_003204955.1_ASM320495v1,Homo sapiens,Rectal swab,Humans
GCA_013348885.1_ASM1334888v1,Homo sapiens,sputum,Humans
GCA_001409135.1_10259,NA,Human Stool,Humans
GCA_013306475.1_ASM1330647v1,tomato,NA,Agriculture
GCA_000016725.1_ASM1672v1,NA,NA,NA
GCA_001524645.2_ASM152464v2,NA,soil,Soil
GCA_002094935.1_ASM209493v1,NA,NA,NA
GCA_002355575.1_ASM235557v1,NA,yellowtail,Animals
GCA_008330585.1_ASM833058v1,Homo sapiens,wound,Humans
GCA_005862305.2_ASM586230v2,Pisum sativum l. (pea),pea root nodules,Agriculture
GCA_004101625.1_ASM410162v1,NA,food,Food
GCA_001900865.1_ASM190086v1,homo sapiens,human skin,Humans
GCA_009708895.1_ASM970889v1,Salmo salar,NA,Animals
GCA_003346835.1_ASM334683v1,Homo sapiens,rectal swab,Humans
GCA_000803705.1_ASM80370v1,NA,NA,NA
GCA_002850235.1_ASM285023v1,pig,NA,Livestock
GCA_000364425.1_ASM36442v1,NA,artificially infected Catharanthus,Plants
GCA_006228205.1_ASM622820v1,NA,Beer Keg,Human-impacted
GCA_000253255.1_ASM25325v1,NA,NA,NA
GCA_002846135.1_ASM284613v1,Homo sapiens,Respiratory secretions,Humans
GCA_010092585.1_ASM1009258v1,Salmo salar,ENVO:01000312,Animals
GCA_002024285.1_ASM202428v1,Actinidia deliciosa,NA,Agriculture
GCA_002180115.1_ASM218011v1,NA,NA,NA
GCA_001642655.1_ASM164265v1,NA,NA,NA
GCA_000248095.3_ASM24809v3,Sus scrofa domesticus,small intestine,Livestock
GCA_002074035.1_ASM207403v1,Pthirus gorillae,Kenya,Animals
GCA_001685465.1_ASM168546v1,NA,NA,NA
GCA_001922425.2_ASM192242v2,Homo sapiens,Bronchial,Humans
GCA_001499655.1_PNK1,Naegleria,NA,Animals
GCA_013306745.1_ASM1330674v1,tomato,NA,Agriculture
GCA_002870885.1_ASM287088v1,Homo sapiens,Liver abscess puncture fluid,Humans
GCA_013085505.1_ASM1308550v1,NA,chicken,Livestock
GCA_000568455.1_ASM56845v1,NA,NA,NA
GCA_004141975.1_ASM414197v1,Homo sapiens,anal sample,Humans
GCA_003718355.1_ASM371835v1,NA,NA,NA
GCA_000222975.1_ASM22297v1,NA,NA,NA
GCA_009861435.1_ASM986143v1,NA,NA,NA
GCA_002949735.1_ASM294973v1,NA,Peltigera membranacea thallus,Plants
GCA_009301415.1_ASM930141v1,NA,the fermentation starter of Baijiu,Food
GCA_900520375.1_ASM90052037v1,NA,NA,NA
GCA_002892265.1_ASM289226v1,NA,fish larvae aquaculture,Human-impacted
GCA_900239945.1_Chlamydia_sp._nov._H15-1957-10C,NA,Snake,Animals
GCA_004768605.1_ASM476860v1,Homo sapiens,NA,Humans
GCA_001885235.1_ASM188523v1,NA,NA,NA
GCA_001420975.1_ASM142097v1,Apterostigma dentigerum,exoskeleton of ant,Animals
GCA_003112165.1_ASM311216v1,Bos taurus,feces,Livestock
GCA_002250965.2_ASM225096v2,NA,Mashed potatoes,Food
GCA_003584585.1_ASM358458v1,NA,wastewater treatment plant effluent,Human-impacted
GCA_009912895.1_ASM991289v1,Homo sapiens,NA,Humans
GCA_006385655.1_ASM638565v1,NA,urine,Humans
GCA_008253865.1_ASM825386v1,soybean,rhizosphere soil,Soil
GCA_007113585.2_ASM711358v2,NA,Micro soil grain,Soil
GCA_003203455.1_ASM320345v1,Gallus gallus,gut contents,Livestock
GCA_000785005.1_ASM78500v1,Homo sapiens,urine,Humans
GCA_013343635.1_ASM1334363v1,NA,cattle feces,Livestock
GCA_002163585.1_ASM216358v1,mandarin orange,NA,Agriculture
GCA_002787755.1_ASM278775v1,Homo sapiens,Peritoneal fluid,Humans
GCA_001900515.1_ASM190051v1,cow,NA,Livestock
GCA_003717115.1_ASM371711v1,NA,NA,NA
GCA_002285755.1_ASM228575v1,Homo sapiens,NA,Humans
GCA_000511385.1_ASM51138v1,NA,scallop,Food
GCA_012931625.1_ASM1293162v1,Homo sapiens,cerebrospinal fluid,Humans
GCA_002893825.1_ASM289382v1,Homo sapiens,NA,Humans
GCA_001902335.1_ASM190233v1,Homo sapiens,wound swab,Humans
GCA_013349065.1_ASM1334906v1,NA,bed sheets,Human-impacted
GCA_008831325.1_ASM883132v1,Homo sapiens,Oral cavity,Humans
GCA_003429625.1_ASM342962v1,Homo sapiens,sputum,Humans
GCA_005222305.1_ASM522230v1,NA,cattle,Livestock
GCA_011305535.1_ASM1130553v1,NA,Hydrophilus acuminatus,Animals
GCA_009728975.1_ASM972897v1,Homo sapiens,urine sample,Humans
GCA_006517035.1_ASM651703v1,NA,chicken,Livestock
GCA_003999605.1_ASM399960v1,NA,Yak fermented milk,Food
GCA_010365265.1_ASM1036526v1,Fava bean,nodules,Agriculture
GCA_001606135.1_ASM160613v1,Homo sapiens,Cord blood,Humans
GCA_001672455.2_ASM167245v2,Biserrula pelecinus L.,Root nodule,Plants
GCA_004124055.2_ASM412405v2,NA,food,Food
GCA_000511355.1_ASM51135v1,NA,seawater collected from a tide pool,Marine
GCA_000172595.2_ASM17259v2,NA,NA,NA
GCA_009709355.1_ASM970935v1,Salmo salar,NA,Animals
GCA_004328625.1_ASM432862v1,NA,soil,Soil
GCA_012931665.1_ASM1293166v1,Homo sapiens,sputum,Humans
GCA_001663395.1_ASM166339v1,NA,deep-sea sediment,Sediment
GCA_002951895.1_ASM295189v1,honeybees,foul brood,Animals
GCA_009909305.1_ASM990930v1,Homo sapiens,stool,Humans
GCA_003697185.1_ASM369718v1,NA,Automobile air-conditioning evaporator,Human-impacted
GCA_003595485.1_ASM359548v1,Homo sapiens,Pus leg,Humans
GCA_010669145.1_ASM1066914v1,NA,the root of rice,Agriculture
GCA_009295925.1_ASM929592v1,Marmota baibacina,NA,Animals
GCA_000237325.1_ASM23732v1,NA,NA,NA
GCA_000253175.1_ASM25317v1,NA,NA,NA
GCA_002759355.1_ASM275935v1,Phaseolus vulgaris,NA,Agriculture
GCA_009913875.1_ASM991387v1,NA,Gochujang,Food
GCA_001713415.1_ASM171341v1,NA,Chrysochromulina tobin phycosphere,Plants
GCA_006546965.1_ASM654696v1,Homo sapiens,NA,Humans
GCA_009738185.1_ASM973818v1,ruddy shelduck,NA,Animals
GCA_000024305.1_ASM2430v1,NA,NA,NA
GCA_000304415.1_RM41,NA,NA,NA
GCA_009176875.1_ASM917687v1,Homo sapiens,blood,Humans
GCA_002753605.1_ASM275360v1,NA,NA,NA
GCA_001908815.1_ASM190881v1,Capsicum annuum,Pepper leaf,Agriculture
GCA_001936035.1_ASM193603v1,NA,NA,NA
GCA_002762545.2_ASM276254v2,Homo sapiens,blood,Humans
GCA_006742345.1_ASM674234v1,NA,NA,NA
GCA_002982175.1_ASM298217v1,NA,soybeans,Agriculture
GCA_011040455.1_ASM1104045v1,NA,water,Freshwater
GCA_003058325.1_ASM305832v1,NA,Automobile air-conditioning evaporator,Human-impacted
GCA_007197815.1_ASM719781v1,Homo sapiens,gut,Humans
GCA_001543225.1_ASM154322v1,Bos bovis,NA,Livestock
GCA_000808095.1_ASM80809v1,NA,NA,NA
GCA_000761135.1_ASM76113v1,Apis mellifera,NA,Animals
GCA_008824185.1_ASM882418v1,NA,denitrifying; sulfide-oxidizing effluent-treatment plant,Human-impacted
GCA_001663415.1_ASM166341v1,Kaempferia sp. rhizome,NA,Plants
GCA_003431865.1_ASM343186v1,NA,NA,NA
GCA_003129525.1_ASM312952v1,NA,Woodchip bioreactor,Human-impacted
GCA_004114395.1_ASM411439v1,Homo sapiens,rectal swab,Humans
GCA_001562315.1_ASM156231v1,NA,seawater,Marine
GCA_000577745.1_6179_18022011,NA,NA,NA
GCA_000598005.1_ASM59800v1,human,urinary tract infection,Humans
GCA_000253075.1_ASM25307v1,NA,NA,NA
GCA_000818095.1_ASM81809v1,NA,NA,NA
GCA_900174485.1_SDENCHOL_PRJEB20067_v1,NA,NA,NA
GCA_003665215.1_ASM366521v1,NA,Cheonggukjang,Food
GCA_002531755.2_ASM253175v2,Phaseolus vulgaris,root nodule,Agriculture
GCA_003010455.1_ASM301045v1,NA,kimchi; traditional fermented food in Korea,Food
GCA_002865825.1_ASM286582v1,NA,NA,NA
GCA_000008445.1_ASM844v1,NA,NA,NA
GCA_004028015.1_ASM402801v1,Homo sapiens,NA,Humans
GCA_000009165.1_ASM916v1,NA,NA,NA
GCA_006228165.1_ASM622816v1,Homo sapiens,NA,Humans
GCA_002234755.2_ASM223475v2,NA,NA,NA
GCA_009295945.1_ASM929594v1,Marmota sibirica,NA,Animals
GCA_003324715.1_ASM332471v1,NA,laboratory,Human-impacted
GCA_003627055.1_ASM362705v1,Protaetia brevitarsis seulensis,larvae,Animals
GCA_002007665.1_ASM200766v1,Homo sapiens,Blood culture,Humans
GCA_008033075.1_ASM803307v1,Homo sapiens,NA,Humans
GCA_002880635.1_ASM288063v1,NA,NA,NA
GCA_000012925.1_ASM1292v1,NA,NA,NA
GCA_001077535.2_ASM107753v2,NA,NA,NA
GCA_002951675.1_ASM295167v1,Homo sapiens,urine,Humans
GCA_002222635.1_ASM222263v1,Skeletonema marinoi strain RO5AC,Top-layer sediments,Sediment
GCA_009762255.1_ASM976225v1,Bactrocera oleae,NA,Animals
GCA_000283635.1_ASM28363v1,NA,traditional greek kasseri cheese,Food
GCA_001077565.2_ASM107756v2,Homo sapiens,blood,Humans
GCA_900129335.1_PP_HGAG_QV30_2SC_T4,NA,Wound infection,Humans
GCA_000832565.1_ASM83256v1,NA,Wool from Pakistan,Livestock
GCA_001399775.1_ASM139977v1,NA,NA,NA
GCA_001857945.1_ASM185794v1,NA,Crassostrea gigas,Animals
GCA_002078455.2_ASM207845v2,NA,Dairy fermentation,Food
GCA_011604465.1_ASM1160446v1,Trifolium pratense,Clover nodules,Plants
GCA_003612915.1_ASM361291v1,Homo sapiens,eye,Humans
GCA_003324835.1_ASM332483v1,NA,NA,NA
GCA_001664485.1_ASM166448v1,Phaseolus vulgaris,legume-root nodule,Agriculture
GCA_001741665.1_ASM174166v1,Homo sapiens,abdominal drainage,Humans
GCA_001660025.1_ASM166002v1,Bos taurus,raw cow milk,Livestock
GCA_000027265.1_ASM2726v1,NA,NA,NA
GCA_000742915.1_KvarBZ19,NA,Faeces,Humans
GCA_002968655.1_ASM296865v1,NA,NA,NA
GCA_004194375.1_ASM419437v1,NA,food,Food
GCA_000022685.1_ASM2268v1,NA,NA,NA
GCA_002633965.1_ASM263396v1,Cattle,NA,Livestock
GCA_000195795.1_ASM19579v1,NA,NA,NA
GCA_001444465.1_ASM144446v1,Rattus,NA,Animals
GCA_002184245.1_ASM218424v1,NA,soil,Soil
GCA_001878675.1_ASM187867v1,NA,Solid waste landfill sample,Human-impacted
GCA_001895985.1_ASM189598v1,Homo sapiens,Sputum,Humans
GCA_008121535.1_ASM812153v1,NA,Gulf of Finland,Marine
GCA_001518935.2_ASM151893v2,Bos taurus,mucus,Livestock
GCA_000283475.1_ASM28347v1,NA,NA,NA
GCA_004847885.1_ASM484788v1,Homo sapiens,stool,Humans
GCA_002741665.1_ASM274166v1,Homo sapiens,patient's blood plasma,Humans
GCA_002950695.1_ASM295069v1,NA,fermented cabbage,Food
GCA_003203695.1_ASM320369v1,masson pine,NA,Plants
GCA_000767645.1_ASM76764v1,Homo sapiens,NA,Humans
GCA_001022235.1_ASM102223v1,Homo sapiens,Perirectal,Humans
GCA_900249715.1_CBM2588,NA,NA,NA
GCA_013364155.1_ASM1336415v1,NA,marine sediment,Sediment
GCA_012935085.1_ASM1293508v1,Homo sapiens,Pus,Humans
GCA_006461415.2_ASM646141v2,NA,pork & cabbage dumplings,Food
GCA_005952885.1_ASM595288v1,Homo sapiens,NA,Humans
GCA_001991095.1_ASM199109v1,Homo sapiens,Gastric tissue biopsy,Humans
GCA_006874585.1_ASM687458v1,NA,activated sludge,Human-impacted
GCA_006088835.1_ASM608883v1,Homo sapiens,blood,Humans
GCA_000143605.1_ASM14360v1,NA,NA,NA
GCA_002752975.1_ASM275297v1,NA,NA,NA
GCA_002982135.1_ASM298213v1,NA,brewery yeast,Animals
GCA_004208435.1_ASM420843v1,NA,NA,NA
GCA_009858115.1_ASM985811v1,Sablefish,NA,Animals
GCA_000021405.1_ASM2140v1,NA,NA,NA
GCA_000318925.1_ASM31892v1,NA,NA,NA
GCA_003790485.1_ASM379048v1,Homo sapiens,rectal swab,Humans
GCA_008026175.1_ASM802617v1,Homo sapiens,NA,Humans
GCA_001623805.1_ASM162380v1,Homo sapiens,NA,Humans
GCA_007990635.1_ASM799063v1,NA,NA,NA
GCA_001442755.1_ASM144275v1,NA,NA,NA
GCA_002277895.1_ASM227789v1,NA,agricultural soil,Soil
GCA_009498375.1_ASM949837v1,NA,Meleagris gallopavo,Animals
GCA_013113775.1_ASM1311377v1,NA,NA,NA
GCA_001735985.1_ASM173598v1,Homo sapiens,Bronchial aspirate,Humans
GCA_000015545.1_ASM1554v1,NA,NA,NA
GCA_013167415.1_ASM1316741v1,bovine,NA,Livestock
GCA_900000195.2_UMC2,NA,NA,NA
GCA_003999545.1_ASM399954v1,common bean,leaves of Phaseolus vulgaris,Agriculture
GCA_012167385.1_ASM1216738v1,NA,milk,Food
GCA_013167195.1_ASM1316719v1,cattle,cattle feces,Livestock
GCA_013426735.1_ASM1342673v1,Vitis vinifera L. cv. Aurora Black,sterilized root of grapevine nursary stock,Agriculture
GCA_008329925.1_ASM832992v1,NA,NA,NA
GCA_000011685.1_ASM1168v1,NA,NA,NA
GCA_001874485.1_ASM187448v1,Homo sapiens,Hera General Hopsital; patient,Humans
GCA_002215115.1_ASM221511v1,Gallus gallus domesticus,peritoneal cavity,Livestock
GCA_013030075.1_ASM1303007v1,NA,NA,NA
GCA_001549755.1_XFAS005-SEQ-1-ASM-1,Nerium oleander,leaf,Plants
GCA_006704145.1_ASM670414v1,NA,Glass slide place on reef flat in natural environment,Marine
GCA_003717395.1_ASM371739v1,NA,NA,NA
GCA_004295385.1_ASM429538v1,Homo sapiens,blood,Humans
GCA_003342695.1_ASM334269v1,NA,solar salt,Terrestrial
GCA_013328855.1_ASM1332885v1,Homo sapiens,urine,Humans
GCA_001038625.1_ASM103862v1,NA,agricultural settling lagoon,Human-impacted
GCA_009648895.1_ASM964889v1,NA,NA,NA
GCA_000175255.2_ASM17525v2,NA,fermenting agave juice,Food
GCA_001677495.1_ASM167749v1,NA,lettuce,Food
GCA_001717725.2_ASM171772v2,Homo sapiens,Purulent absess from military trainee,Humans
GCA_005081445.1_ASM508144v1,Hyadaphis tataricae,air,Animals
GCA_000775355.2_ASM77535v2,NA,water,Freshwater
GCA_009912075.1_ASM991207v1,Homo sapiens,NA,Humans
GCA_002355455.1_ASM235545v1,NA,NA,NA
GCA_002984565.1_ASM298456v1,Homo sapiens,Peripheral blood,Humans
GCA_000286535.1_gacin11v1.0,Homo sapiens,NA,Humans
GCA_001457555.1_NCTC10562,NA,inflamed gingiva,Humans
GCA_009883855.1_ASM988385v1,Penaeus vannamei,AHPND infected Litopenaeus vannamei,Animals
GCA_002891985.1_ASM289198v1,NA,fish larvae aquaculture,Human-impacted
GCA_011067105.1_ASM1106710v1,NA,soil,Soil
GCA_003932915.1_ASM393291v1,Homo sapiens,blood,Humans
GCA_009708935.1_ASM970893v1,Salmo salar,NA,Animals
GCA_009387815.1_ASM938781v1,Homo sapiens,stool,Humans
GCA_013462495.1_ASM1346249v1,Homo sapiens,NA,Humans
GCA_003611015.1_ASM361101v1,NA,New Zealand cheese,Food
GCA_002742385.2_ASM274238v2,Homo sapiens,nail feet smear,Humans
GCA_000014545.1_ASM1454v1,NA,NA,NA
GCA_001708655.1_ASM170865v1,NA,Fecal samples from slaughtered sheep,Livestock
GCA_000521565.1_ASM52156v1,Myzus persicae,NA,Animals
GCA_002157855.1_ASM215785v1,NA,Sediment top,Sediment
GCA_002787675.1_ASM278767v1,NA,beer,Food
GCA_000299475.1_ASM29947v1,Homo sapiens,NA,Humans
GCA_000742315.1_ASM74231v1,NA,NA,NA
GCA_003408535.1_ASM340853v1,Homo sapiens,blood,Humans
GCA_002393265.1_ASM239326v1,Homo sapiens,Tissue grind,Humans
GCA_002892205.1_ASM289220v1,NA,cleaning system aquaculture,Human-impacted
GCA_000024325.1_ASM2432v1,NA,NA,NA
GCA_000385435.1_m07aNrPeIrM01,Alces alces,blood,Animals
GCA_000170955.2_ASM17095v2,NA,NA,NA
GCA_000175935.2_ASM17593v2,NA,NA,NA
GCA_001990065.1_ASM199006v1,NA,Sea bass,Animals
GCA_000743255.1_ASM74325v1,NA,NA,NA
GCA_008124085.1_ASM812408v1,NA,mouse gut,Animals
GCA_002000685.1_ASM200068v1,Homo sapiens,Nose,Humans
GCA_013376835.1_ASM1337683v1,NA,NA,NA
GCA_012931565.1_ASM1293156v1,NA,ground beef,Food
GCA_002442895.1_ASM244289v1,NA,Korean fermented food,Food
GCA_002117285.1_ASM211728v1,NA,raw sausage,Food
GCA_006228245.1_ASM622824v1,NA,NA,NA
GCA_000009925.1_ASM992v1,NA,NA,NA
GCA_004768585.1_ASM476858v1,NA,Avian,Animals
GCA_002357415.1_ASM235741v1,Homo sapiens,Human stomach,Humans
GCA_002055765.1_ASM205576v1,NA,NA,NA
GCA_000306745.1_ASM30674v1,NA,NA,NA
GCA_007954765.1_ASM795476v1,NA,kimchi,Food
GCA_000834925.1_ASM83492v1,NA,NA,NA
GCA_003691365.1_ASM369136v1,Apis mellifera,gut,Animals
GCA_000011625.1_ASM1162v1,NA,NA,NA
GCA_002356215.1_ASM235621v1,NA,NA,NA
GCA_001579965.1_ASM157996v1,NA,NA,NA
GCA_001655495.1_ASM165549v1,Homo sapiens,NA,Humans
GCA_003697165.2_ASM369716v2,NA,NA,NA
GCA_003665455.1_ASM366545v1,citrus,NA,Agriculture
GCA_000987925.1_ASM98792v1,flatfish,gill,Animals
GCA_003573835.1_ASM357383v1,Homo sapiens,lung,Humans
GCA_000318705.1_ASM31870v1,NA,NA,NA
GCA_003718555.1_ASM371855v1,NA,NA,NA
GCA_011405335.1_ASM1140533v1,NA,soil,Soil
GCA_000013905.1_ASM1390v1,NA,NA,NA
GCA_002074095.1_ASM207409v1,NA,Korean soybean paste,Food
GCA_002208985.3_ASM220898v3,Homo sapiens,Clean catch urine,Humans
GCA_013364215.1_ASM1336421v1,NA,marine sediment,Sediment
GCA_002116925.1_ASM211692v1,Homo sapiens,NA,Humans
GCA_001524625.2_ASM152462v2,NA,soil,Soil
GCA_000023745.1_ASM2374v1,NA,NA,NA
GCA_013389415.1_ASM1338941v1,sugarcane,NA,Agriculture
GCA_001433955.1_ASM143395v1,Homo sapiens,subgingival dental plaque,Humans
GCA_013112375.1_ASM1311237v1,Pyropia,seawater,Marine
GCA_001618845.1_ASM161884v1,Biserrula pelecinus,root nodule,Plants
GCA_002759175.1_ASM275917v1,Phaseolus vulgaris,NA,Agriculture
GCA_013307065.1_ASM1330706v1,Homo sapiens,NA,Humans
GCA_000746585.2_ASM74658v2,Amblyomma cajennense,Amblyomma Tick,Animals
GCA_010731675.1_ASM1073167v1,NA,NA,NA
GCA_003986635.1_ASM398663v1,Homo sapiens,NA,Humans
GCA_900634615.1_Thiomonas_sp_CB2,NA,NA,NA
GCA_003641145.1_ASM364114v1,NA,beer contaminant,Food
GCA_003855195.1_ASM385519v1,Homo sapiens,urethra,Humans
GCA_900698995.1_ErCisplendens_Palmer_v1.0,NA,host's whole body,NA
GCA_001890285.1_ASM189028v1,NA,cattle feces,Livestock
GCA_009709455.1_ASM970945v1,Salmo salar,NA,Animals
GCA_002833425.1_ASM283342v1,Homo sapiens,bronchoalveolar lavage,Humans
GCA_000934605.2_ASM93460v2,NA,uncultivated field soil,Soil
GCA_001496995.1_ASX_PRJEB7164_v1,NA,NA,NA
GCA_000298515.2_ASM29851v2,Bos taurus,cattle during an outbreak of enteritis,Livestock
GCA_900000185.2_JGS6364,NA,NA,NA
GCA_000685635.1_ASM68563v1,NA,Water,Freshwater
GCA_006378125.1_ASM637812v1,Homo sapiens,sputum,Humans
GCA_002967055.1_ASM296705v1,Homo sapiens,NA,Humans
GCA_007999005.1_ASM799900v1,Homo sapiens,SHIME feed,Humans
GCA_013390245.1_ASM1339024v1,NA,NA,NA
GCA_001558375.2_ASM155837v2,Homo sapiens,Urine clean catch,Humans
GCA_012221125.1_ASM1222112v1,NA,sewage from Environmental Centre Robert O. Picard,Human-impacted
GCA_000225445.1_ASM22544v1,Acyrthosiphon kondoi,NA,Animals
GCA_001664365.1_ASM166436v1,Phaseolus vulgaris,legume-root nodule,Agriculture
GCA_008065415.1_ASM806541v1,Homo sapiens,NA,Humans
GCA_001187845.1_ASM118784v1,NA,surface water of the southern North Sea,Marine
GCA_003711225.1_ASM371122v1,NA,freshwater,Freshwater
GCA_001870265.1_ASM187026v1,NA,NA,NA
GCA_003965345.2_ASM396534v2,Homo sapiens,NA,Humans
GCA_010104355.1_ASM1010435v1,NA,soil [BTO:0003809],Soil
GCA_000835345.1_ASM83534v1,Homo sapiens,NA,Humans
GCA_002812865.1_ASM281286v1,Homo sapiens,urine,Humans
GCA_002240185.1_ASM224018v1,NA,Pisum sativum root-nodule,Agriculture
GCA_004759025.1_ASM475902v1,Homo sapiens,urine,Humans
GCA_003324795.1_ASM332479v1,NA,NA,NA
GCA_004803695.1_ASM480369v1,Mus musculus,feces,Animals
GCA_001457495.1_NCTC13435,NA,skin abscess,Humans
GCA_005221945.1_ASM522194v1,NA,cattle,Livestock
GCA_003628405.2_ASM362840v2,turkey,intestine,Livestock
GCA_002113865.1_ASM211386v1,Homo sapiens,Urine,Humans
GCA_011611865.1_ASM1161186v1,NA,petroleum-contaminated soil,Human-impacted
GCA_007954445.1_ASM795444v1,Homo sapiens,Tricuspid valve; anterior leaflet,Humans
GCA_001184775.1_ASM118477v1,Homo sapiens,NA,Humans
GCA_006351805.1_ASM635180v1,NA,NA,NA
GCA_007197835.1_ASM719783v1,Homo sapiens,sputum,Humans
GCA_003971585.1_ASM397158v1,Homo sapiens,stool,Humans
GCA_004208475.1_ASM420847v1,rabbit,NA,Livestock
GCA_002918585.2_ASM291858v2,NA,NA,NA
GCA_009883895.1_ASM988389v1,Penaeus japonicus,AHPND infected Penaeus japonicus,Animals
GCA_009806735.1_ASM980673v1,chicken,feces from Chicken intestine,Livestock
GCA_011604725.1_ASM1160472v1,NA,water,Freshwater
GCA_004551645.1_ASM455164v1,NA,soil,Soil
GCA_002012285.1_ASM201228v1,Homo sapiens,peritoneal catheter tip,Humans
GCA_009258225.1_ASM925822v1,NA,seawater,Marine
GCA_001281145.1_ASM128114v1,Homo sapiens,NA,Humans
GCA_000733255.1_ASM73325v1,NA,urine,Humans
GCA_009258445.1_NL-IR-1,Ixodes ricinus,eggs of a tick infected in nature,Animals
GCA_008086325.1_ASM808632v1,NA,Surface sea water,Marine
GCA_000010265.1_ASM1026v1,NA,NA,NA
GCA_000318805.1_ASM31880v1,NA,NA,NA
GCA_000021525.1_ASM2152v1,NA,NA,NA
GCA_007990445.1_ASM799044v1,Homo sapiens,bronchial lavage fluid,Humans
GCA_002984035.1_ASM298403v1,Homo sapiens,Stool,Humans
GCA_009834365.1_ASM983436v1,Ziziphus mauritiana Lam,fruit,Agriculture
GCA_001908675.1_ASM190867v1,Homo sapiens,abdominal drainage fluid,Humans
GCA_000550765.1_ASM55076v1,NA,NA,NA
GCA_003073675.1_ASM307367v1,NA,NA,NA
GCA_009720585.1_ASM972058v1,Korean traditional fermented food,kimchi,Food
GCA_000166635.2_ASM16663v1,NA,NA,NA
GCA_001456155.1_ASM145615v1,NA,soil,Soil
GCA_009662415.1_ASM966241v1,NA,NA,NA
GCA_002812485.1_ASM281248v1,Pyrus pyrifolia,NA,Agriculture
GCA_012051385.1_ASM1205138v1,Homo sapiens,Diarrheal patient,Humans
GCA_000319025.1_ASM31902v1,NA,NA,NA
GCA_001272315.2_ASM127231v2,NA,NA,NA
GCA_004299805.1_ASM429980v1,Homo sapiens,urine,Humans
GCA_006363875.1_ASM636387v1,NA,Water of rice field,Freshwater
GCA_007814525.1_ASM781452v1,NA,Buffalo milk,Food
GCA_012934815.1_ASM1293481v1,Homo sapiens,rectal swab from healthy college student,Humans
GCA_012029465.1_ASM1202946v1,Gallus gallus,bone from lame broiler,Livestock
GCA_002078475.2_ASM207847v2,NA,Fermented Meat Product,Food
GCA_004758605.1_ASM475860v1,NA,automobile air conditional evaporator,Human-impacted
GCA_001766355.1_ASM176635v1,NA,Glomma River,Freshwater
GCA_001558915.2_ASM155891v2,Homo sapiens,Sputum,Humans
GCA_011057955.1_ASM1105795v1,NA,stool,Humans
GCA_013201255.1_ASM1320125v1,pig,slaughterhouse,Livestock
GCA_000014525.1_ASM1452v1,NA,NA,NA
GCA_003718035.1_ASM371803v1,NA,NA,NA
GCA_001022155.1_ASM102215v1,Homo sapiens,Urine/Genitourinary,Humans
GCA_002187935.3_ASM218793v3,Homo sapiens,Blood,Humans
GCA_000008865.2_ASM886v2,NA,NA,NA
GCA_002000865.1_ASM200086v1,Homo sapiens,Perineum,Humans
GCA_002706565.1_ASM270656v1,NA,hot spring,Terrestrial
GCA_013364115.1_ASM1336411v1,Homo sapiens,clinical isolate,Humans
GCA_002005345.1_ASM200534v1,NA,rice paddy soil,Soil
GCA_013377175.1_ASM1337717v1,Homo sapiens,secretion,Humans
GCA_004124195.2_ASM412419v2,NA,food,Food
GCA_001456135.1_ASM145613v1,Homo sapiens,Respiratory,Humans
GCA_001717645.3_ASM171764v3,Homo sapiens,Nose from military trainee,Humans
GCA_009807175.1_ASM980717v1,Androsace koso-poljanskii,plant,Plants
GCA_003427055.1_ASM342705v1,Oryza sativa,rice leaves,Agriculture
GCA_000430145.3_ASM43014v3,NA,chicken breast,Food
GCA_002998835.1_ASM299883v1,Homo sapiens,aspirate,Humans
GCA_009662215.1_ASM966221v1,NA,NA,NA
GCA_001952995.1_ASM195299v1,Homo sapiens,stool,Humans
GCA_002852975.2_ASM285297v2,Homo sapiens,NA,Humans
GCA_005083985.2_ASM508398v2,NA,deep-sea hydrothermal vent,Marine
GCA_005885875.1_ASM588587v1,Homo sapiens,stool,Humans
GCA_002000825.1_ASM200082v1,Homo sapiens,Pus axilla,Humans
GCA_002313065.1_ASM231306v1,Sebastes schlegelii,NA,Animals
GCA_003008555.2_ASM300855v2,Penaeus vannamei (shrimp),intestine content,Animals
GCA_001986135.1_ASM198613v1,Homo sapiens,skin,Humans
GCA_000412755.1_ASM41275v1,NA,NA,NA
GCA_002759375.1_ASM275937v1,Phaseolus sp.,NA,Agriculture
