#Organism/Name	Kingdom	Group	SubGroup	Plasmid Name	RefSeq	INSDC	Size (Kb)	GC%	Protein	rRNA	tRNA	Other RNA	Gene	Pseudogene
Borrelia hermsii	Bacteria	Spirochaetes	Spirochaetia	unnamed	NZ_CP014825.1	CP014832	4.28	29.9299	3	-	-	-	4	1
Borrelia hermsii	Bacteria	Spirochaetes	Spirochaetia	unnamed	NZ_CP014826.1	-	4.025	25.4161	6	-	-	-	6	-
Borrelia hermsii	Bacteria	Spirochaetes	Spirochaetia	unnamed	NZ_CP014827.1	-	3.409	25.9607	4	-	-	-	5	1
Borrelia hermsii	Bacteria	Spirochaetes	Spirochaetia	unnamed	NZ_CP014828.1	-	2.805	30.8021	2	-	-	-	2	-
Borrelia hermsii	Bacteria	Spirochaetes	Spirochaetia	unnamed	NZ_CP014829.1	-	1.881	35.6725	-	-	-	-	2	2
Borrelia hermsii	Bacteria	Spirochaetes	Spirochaetia	unnamed	NZ_CP014830.1	-	1.692	26.182	2	-	-	-	2	-
Borrelia hermsii	Bacteria	Spirochaetes	Spirochaetia	unnamed	NZ_CP014831.1	CP014831	1.482	37.0445	2	-	-	-	2	-
Borrelia hermsii	Bacteria	Spirochaetes	Spirochaetia	unnamed	NZ_CP014832.1	-	1.339	36.2957	1	-	-	-	1	-
Borrelia hermsii	Bacteria	Spirochaetes	Spirochaetia	unnamed	NZ_CP014833.1	CP014830	1.206	28.2753	1	-	-	-	2	1
Borrelia hermsii	Bacteria	Spirochaetes	Spirochaetia	Unnamed	-	CP014811.1	43.433	31.7754	34	-	-	-	44	10
Borrelia hermsii	Bacteria	Spirochaetes	Spirochaetia	Unnamed	-	CP014812.1	40.932	32.295	30	-	-	-	42	12
Borrelia hermsii	Bacteria	Spirochaetes	Spirochaetia	Unnamed	-	CP014813.1	26.534	31.503	22	-	-	-	28	6
Borrelia hermsii HS1	Bacteria	Spirochaetes	Spirochaetia	megaplasmid	NZ_CP014350.1	CP014350	182.863	31.102	167	-	-	-	168	1
Borrelia hermsii HS1	Bacteria	Spirochaetes	Spirochaetia	cp28	NZ_CP014351.1	CP014351	27.881	29.9559	39	-	-	-	42	3
Borrelia hermsii HS1	Bacteria	Spirochaetes	Spirochaetia	lpB58	NZ_CP014792.1	CP014792	58.207	30.5479	48	-	-	-	55	6
Borrelia hermsii HS1	Bacteria	Spirochaetes	Spirochaetia	lpE27	NZ_CP014871.1	CP014871	27.074	31.2366	20	-	-	-	26	6
Borrelia hermsii HS1	Bacteria	Spirochaetes	Spirochaetia	lpN31	NZ_CP015331.1	CP015331	31.123	30.9128	27	-	-	-	37	9
Borrelia hermsii HS1	Bacteria	Spirochaetes	Spirochaetia	lpT28	NZ_CP015332.1	CP015332	27.618	32.8156	23	-	-	-	32	10
Borrelia hermsii HS1	Bacteria	Spirochaetes	Spirochaetia	lpV47	NZ_CP015333.1	CP015333	46.648	30.9745	39	-	-	-	50	13
Borrelia hermsii HS1	Bacteria	Spirochaetes	Spirochaetia	lpG27	NZ_CP015334.1	CP015334	27.366	32.7377	29	-	-	-	29	-
Borrelia hermsii HS1	Bacteria	Spirochaetes	Spirochaetia	cp6.5	NZ_CP015335.1	CP015335	6.54	28.211	7	-	-	-	7	-
Borrelia hermsii HS1	Bacteria	Spirochaetes	Spirochaetia	lpF27	NZ_CP015336.1	CP015336	26.961	31.4195	21	-	-	-	30	9
Borrelia maritima	Bacteria	Spirochaetes	Spirochaetia	lp54	NZ_CP044536.1	CP044536	52.594	26.8453	40	-	-	-	62	22
Borrelia maritima	Bacteria	Spirochaetes	Spirochaetia	lp28-4	NZ_CP044537.1	CP044537	39.902	24.505	17	-	-	-	32	15
Borrelia maritima	Bacteria	Spirochaetes	Spirochaetia	lp28-2	NZ_CP044538.1	CP044538	35.049	24.3259	19	-	-	-	31	12
Borrelia maritima	Bacteria	Spirochaetes	Spirochaetia	cp26	NZ_CP044539.1	CP044539	27.105	25.7259	25	-	-	-	27	2
Borrelia maritima	Bacteria	Spirochaetes	Spirochaetia	lp17	NZ_CP044540.1	CP044540	18.529	22.964	13	-	-	-	13	-
Borrelia maritima	Bacteria	Spirochaetes	Spirochaetia	lp36	NZ_CP044541.1	CP044541	17.364	28.6397	10	-	-	-	13	3
Borrelia maritima	Bacteria	Spirochaetes	Spirochaetia	cp32-2	NZ_CP044542.1	CP044542	16.877	26.8709	11	-	-	-	26	15
Borrelia mayonii	Bacteria	Spirochaetes	Spirochaetia	cp26	NZ_CP015797.1	CP015797	26.835	25.8767	27	-	-	-	27	-
Borrelia mayonii	Bacteria	Spirochaetes	Spirochaetia	cp32-1	NZ_CP015798.1	CP015798	30.433	29.4056	38	-	-	-	42	4
Borrelia mayonii	Bacteria	Spirochaetes	Spirochaetia	cp32-13	NZ_CP015799.1	CP015799	27.866	28.9851	33	-	-	-	38	5
Borrelia mayonii	Bacteria	Spirochaetes	Spirochaetia	cp32-3	NZ_CP015800.1	CP015800	30.33	28.7603	31	-	-	-	42	11
Borrelia mayonii	Bacteria	Spirochaetes	Spirochaetia	cp32-4	NZ_CP015801.1	CP015801	30.406	28.968	41	-	-	-	42	1
Borrelia mayonii	Bacteria	Spirochaetes	Spirochaetia	cp32-6	NZ_CP015802.1	CP015802	17.017	27.2257	14	-	-	-	22	8
Borrelia mayonii	Bacteria	Spirochaetes	Spirochaetia	lp17	NZ_CP015803.1	CP015803	23.759	23.5069	17	-	-	-	19	2
Borrelia mayonii	Bacteria	Spirochaetes	Spirochaetia	lp25	NZ_CP015804.1	CP015804	24.696	23.0928	13	-	-	-	19	6
Borrelia mayonii	Bacteria	Spirochaetes	Spirochaetia	lp28-10	NZ_CP015805.1	CP015805	19.566	37.3761	17	-	-	-	21	4
Borrelia mayonii	Bacteria	Spirochaetes	Spirochaetia	lp28-3	NZ_CP015806.1	CP015806	27.809	24.2439	14	-	-	-	26	12
Borrelia mayonii	Bacteria	Spirochaetes	Spirochaetia	lp28-4	NZ_CP015807.1	CP015807	32.269	24.2214	15	-	-	-	24	9
Borrelia mayonii	Bacteria	Spirochaetes	Spirochaetia	lp36	NZ_CP015808.1	CP015808	45.035	23.5772	17	-	-	-	30	13
Borrelia mayonii	Bacteria	Spirochaetes	Spirochaetia	lp54	NZ_CP015809.1	CP015809	53.343	27.0832	43	-	-	-	60	17
Borrelia mayonii	Bacteria	Spirochaetes	Spirochaetia	cp9	NZ_CP015962.1	CP015962	8.307	24.2446	7	-	-	-	9	2
Borrelia mayonii	Bacteria	Spirochaetes	Spirochaetia	cp26	NZ_CP015781.1	CP015781	26.861	25.8814	27	-	-	-	27	-
Borrelia mayonii	Bacteria	Spirochaetes	Spirochaetia	cp32-1	NZ_CP015782.1	CP015782	30.433	29.4056	38	-	-	-	42	4
Borrelia mayonii	Bacteria	Spirochaetes	Spirochaetia	cp32-13	NZ_CP015783.1	CP015783	27.866	28.9851	33	-	-	-	38	5
Borrelia mayonii	Bacteria	Spirochaetes	Spirochaetia	cp32-3	NZ_CP015784.1	CP015784	30.297	28.7685	31	-	-	-	42	11
Borrelia mayonii	Bacteria	Spirochaetes	Spirochaetia	cp32-4	NZ_CP015785.1	CP015785	30.406	28.968	41	-	-	-	42	1
Borrelia mayonii	Bacteria	Spirochaetes	Spirochaetia	cp32-6	NZ_CP015786.1	CP015786	17.017	27.2257	14	-	-	-	22	8
Borrelia mayonii	Bacteria	Spirochaetes	Spirochaetia	cp9	NZ_CP015787.1	CP015787	8.307	24.2446	7	-	-	-	9	2
Borrelia mayonii	Bacteria	Spirochaetes	Spirochaetia	lp17	NZ_CP015788.1	CP015788	23.735	23.5264	18	-	-	-	20	2
Borrelia mayonii	Bacteria	Spirochaetes	Spirochaetia	lp25	NZ_CP015789.1	CP015789	24.702	23.0912	14	-	-	-	20	6
Borrelia mayonii	Bacteria	Spirochaetes	Spirochaetia	lp28-10	NZ_CP015790.1	CP015790	23.812	39.3583	21	-	-	-	26	5
Borrelia mayonii	Bacteria	Spirochaetes	Spirochaetia	lp28-3	NZ_CP015791.1	CP015791	27.809	24.2475	14	-	-	-	26	12
Borrelia mayonii	Bacteria	Spirochaetes	Spirochaetia	lp28-4	NZ_CP015792.1	CP015792	32.294	24.2243	16	-	-	-	25	9
Borrelia mayonii	Bacteria	Spirochaetes	Spirochaetia	lp36	NZ_CP015793.1	CP015793	45.035	23.5772	18	-	-	-	31	13
Borrelia mayonii	Bacteria	Spirochaetes	Spirochaetia	lp5	NZ_CP015794.1	CP015794	5.225	23.6555	5	-	-	-	6	1
Borrelia mayonii	Bacteria	Spirochaetes	Spirochaetia	lp54	NZ_CP015795.1	CP015795	53.359	27.0751	44	-	-	-	61	17
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	cp1	NZ_CP017127.1	CP017127	29.704	28.9826	36	-	-	-	42	6
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	cp2	NZ_CP017128.1	CP017128	24.749	29.0719	35	-	-	-	35	-
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	cp3	NZ_CP017129.1	CP017129	25.931	29.0193	35	-	-	-	38	3
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	cp4	NZ_CP017130.1	CP017130	17.139	27.9013	13	-	-	-	20	7
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	cp5	NZ_CP017131.1	CP017131	19.503	29.8313	23	-	-	-	27	4
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	lp19	NZ_CP017132.1	CP017132	19.956	28.4125	11	-	-	-	16	5
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	lp20-1	NZ_CP017133.1	CP017133	20.484	25.6054	20	-	-	-	22	2
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	lp20-2	NZ_CP017134.1	CP017134	20.029	27.6898	13	-	-	-	17	4
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	lp23	NZ_CP017135.1	CP017135	23.229	30.7073	16	-	-	-	20	4
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	lp26	NZ_CP017136.1	CP017136	19.028	31.028	16	-	-	-	20	4
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	lp30	NZ_CP017137.1	CP017137	30.924	30.022	24	-	-	-	28	4
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	lp41	NZ_CP017138.1	CP017138	41.647	29.1738	31	-	-	-	36	5
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	lp6	NZ_CP017139.1	CP017139	5.976	24.6319	6	-	-	-	6	-
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	lp72	NZ_CP017140.1	CP017140	72.318	26.9947	66	-	-	-	68	2
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pIzh5-lp72	NZ_CP024206.1	CP024206	73.587	27.3132	72	-	-	-	74	2
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pIzh5-1	NZ_CP024207.1	CP024207	70.133	27.7601	81	-	-	-	100	19
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pIzh5-lp41	NZ_CP024208.1	CP024208	39.499	28.5678	32	-	-	-	36	4
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pIzh5-2	NZ_CP024209.1	CP024209	37.315	29.0205	52	-	-	-	53	1
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pIzh5-3	NZ_CP024210.1	CP024210	32.998	26.7562	30	-	-	-	39	9
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pIzh5-4	NZ_CP024211.1	CP024211	30.058	28.8376	42	-	-	-	42	-
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pIzh5-5	NZ_CP024212.1	CP024212	29.066	31.4973	19	-	-	-	24	5
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pIzh5-6	NZ_CP024213.1	CP024213	29.028	26.409	33	-	-	-	45	12
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pIzh5-7	NZ_CP024214.1	CP024214	26.682	29.7954	30	-	-	-	30	-
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pIzh5-8	NZ_CP024215.1	CP024215	23.449	31.3318	18	-	-	-	22	4
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pIzh5-lp23	NZ_CP024216.1	CP024216	23.024	31.0155	17	-	-	-	19	2
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pIzh5-9	NZ_CP024217.1	CP024217	22.657	29.1433	32	-	-	-	32	-
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pIzh5-10	NZ_CP024218.1	CP024218	17.967	26.7045	16	-	-	-	21	5
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pIzh5-11	NZ_CP024219.1	CP024219	16.688	26.3902	14	-	-	-	16	2
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pIzh5-12	NZ_CP024220.1	CP024220	13.278	27.9635	9	-	-	-	10	1
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pIzh5-13	NZ_CP024221.1	CP024221	8.106	27.7819	12	-	-	-	14	2
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pIzh5-lp6	NZ_CP024222.1	CP024222	5.963	25.3396	6	-	-	-	6	-
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pYkt6-lp72	NZ_CP024317.1	CP024317	73.508	27.3508	70	-	-	-	72	2
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pYkt6-1	NZ_CP024318.1	CP024318	70.03	27.7795	79	-	-	-	98	19
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pYkt6-lp23	NZ_CP024319.1	CP024319	36.155	32.3939	24	-	-	-	31	7
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pYkt6-lp41	NZ_CP024320.1	CP024320	30.293	27.3793	24	-	-	-	26	2
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pYkt6-2	NZ_CP024321.1	CP024321	30.033	28.8949	42	-	-	-	43	1
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pYkt6-3	NZ_CP024322.1	CP024322	27.131	30.2274	31	-	-	-	32	1
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pYkt6-4	NZ_CP024323.1	CP024323	24.571	27.2231	36	-	-	-	44	8
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pYkt6-5	NZ_CP024324.1	CP024324	23.955	31.2795	16	-	-	-	20	4
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pYkt6-6	NZ_CP024325.1	CP024325	22.164	29.4126	29	-	-	-	32	3
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pYkt6-7	NZ_CP024326.1	CP024326	18.257	26.3515	15	-	-	-	18	3
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pYkt6-8	NZ_CP024327.1	CP024327	15.621	25.613	12	-	-	-	17	5
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pYkt6-9	NZ_CP024328.1	CP024328	14.149	26.6097	8	-	-	-	12	4
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pYkt6-10	NZ_CP024329.1	CP024329	11.635	24.7271	9	-	-	-	14	5
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pYkt6-11	NZ_CP024330.1	CP024330	11.544	27.131	13	-	-	-	14	1
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pYkt6-12	NZ_CP024331.1	CP024331	10.734	33.883	9	-	-	-	11	2
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pYkt6-lp6	NZ_CP024332.1	CP024332	5.868	25.2386	6	-	-	-	6	-
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pYkt1-lp72	NZ_CP024334.1	CP024334	72.4	27.2707	69	-	-	-	71	2
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pYkt1-1	NZ_CP024335.1	CP024335	70.077	27.7894	79	-	-	-	98	19
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pYkt1-lp41	NZ_CP024336.1	CP024336	41.936	28.5268	34	-	-	-	39	5
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pYkt1-2	NZ_CP024337.1	CP024337	33.525	26.789	31	-	-	-	38	7
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pYkt1-3	NZ_CP024338.1	CP024338	29.115	28.7652	41	-	-	-	41	-
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pYkt1-4	NZ_CP024339.1	CP024339	24.623	29.972	29	-	-	-	30	1
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pYkt1-5	NZ_CP024340.1	CP024340	15.869	32.0058	14	-	-	-	17	3
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pYkt1-6	NZ_CP024341.1	CP024341	15.213	25.9055	14	-	-	-	15	1
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pYkt1-7	NZ_CP024342.1	CP024342	14.935	34.5698	11	-	-	-	13	2
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pYkt1-8	NZ_CP024343.1	CP024343	13.27	27.8674	9	-	-	-	10	1
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pYkt1-9	NZ_CP024344.1	CP024344	13.018	25.1114	10	-	-	-	16	6
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pYkt1-10	NZ_CP024345.1	CP024345	10.588	33.9158	8	-	-	-	11	3
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pYkt1-11	NZ_CP024346.1	CP024346	9.917	34.7182	8	-	-	-	9	1
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pYkt1-lp23	NZ_CP024347.1	CP024347	9.656	28.7386	6	-	-	-	8	2
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pYkt1-12	NZ_CP024348.1	CP024348	8.004	25.6247	7	-	-	-	10	3
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pYkt1-13	NZ_CP024349.1	CP024349	7.24	35.0138	4	-	-	-	6	2
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pYkt1-lp6	NZ_CP024350.1	CP024350	5.868	25.392	6	-	-	-	6	-
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pIzh16-lp72	NZ_CP024352.1	CP024352	73.591	27.3294	72	-	-	-	74	2
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pIzh16-1	NZ_CP024353.1	CP024353	70.099	27.785	80	-	-	-	99	19
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pIzh16-lp41-1	NZ_CP024354.1	CP024354	43.865	29.2967	32	-	-	-	38	6
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pIzh16-lp41-2	NZ_CP024355.1	CP024355	40.137	28.5921	30	-	-	-	34	4
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pIzh16-2	NZ_CP024356.1	CP024356	33.522	26.8331	29	-	-	-	37	8
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pIzh16-3	NZ_CP024357.1	CP024357	30.045	28.5439	42	-	-	-	42	-
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pIzh16-4	NZ_CP024358.1	CP024358	30.026	28.7684	37	-	-	-	44	7
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pIzh16-5	NZ_CP024359.1	CP024359	29.118	31.5063	19	-	-	-	24	5
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pIzh16-6	NZ_CP024360.1	CP024360	26.601	29.7733	30	-	-	-	30	-
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pIzh16-7	NZ_CP024361.1	CP024361	24.137	31.3875	15	-	-	-	19	4
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pIzh16-lp23	NZ_CP024362.1	CP024362	21.221	29.5368	14	-	-	-	17	3
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pIzh16-8	NZ_CP024363.1	CP024363	18.431	26.45	15	-	-	-	18	3
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pIzh16-9	NZ_CP024364.1	CP024364	14.571	26.8204	14	-	-	-	18	4
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pIzh16-10	NZ_CP024365.1	CP024365	13.264	27.8574	9	-	-	-	10	1
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pIzh16-11	NZ_CP024366.1	CP024366	13.071	27.4807	19	-	-	-	24	5
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pIzh16-12	NZ_CP024367.1	CP024367	12.997	25.1058	10	-	-	-	16	6
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pIzh16-13	NZ_CP024368.1	CP024368	11.853	26.7443	11	-	-	-	14	3
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pIzh16-14	NZ_CP024369.1	CP024369	9.535	34.9135	7	-	-	-	9	2
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pIzh16-lp6	NZ_CP024370.1	CP024370	5.887	25.5308	6	-	-	-	6	-
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pIzh14-lp72	NZ_CP024372.1	CP024372	73.569	27.3226	71	-	-	-	73	2
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pIzh14-1	NZ_CP024373.1	CP024373	70.102	27.7738	82	-	-	-	101	19
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pIzh14-lp41	NZ_CP024374.1	CP024374	48.045	29.6181	38	-	-	-	42	4
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pIzh14-2	NZ_CP024375.1	CP024375	43.373	26.7263	45	-	-	-	57	12
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pIzh14-lp26	NZ_CP024376.1	CP024376	34.702	31.6696	29	-	-	-	33	4
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pIzh14-lp23	NZ_CP024377.1	CP024377	31.001	31.37	24	-	-	-	27	3
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pIzh14-3	NZ_CP024378.1	CP024378	29.451	28.4982	41	-	-	-	41	-
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pIzh14-4	NZ_CP024379.1	CP024379	29.36	29.5674	34	-	-	-	36	2
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pIzh14-5	NZ_CP024380.1	CP024380	25.227	31.5694	16	-	-	-	20	4
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pIzh14-6	NZ_CP024381.1	CP024381	19.128	28.6909	25	-	-	-	25	-
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pIzh14-7	NZ_CP024382.1	CP024382	19.062	28.5175	22	-	-	-	25	3
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pIzh14-8	NZ_CP024383.1	CP024383	18.281	26.3498	15	-	-	-	18	3
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pIzh14-9	NZ_CP024384.1	CP024384	17.697	26.7786	16	-	-	-	20	4
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pIzh14-10	NZ_CP024385.1	CP024385	14.43	33.6313	12	-	-	-	12	-
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pIzh14-11	NZ_CP024386.1	CP024386	13.293	28.0373	9	-	-	-	10	1
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pIzh14-12	NZ_CP024387.1	CP024387	12.996	25.1	10	-	-	-	16	6
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pIzh14-13	NZ_CP024388.1	CP024388	8.772	31.9197	5	-	-	-	7	2
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pIzh14-lp6-1	NZ_CP024389.1	CP024389	5.885	25.3526	6	-	-	-	6	-
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	lp72	NZ_CP021873.1	CP021873	73.089	26.8454	70	-	-	-	72	2
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	lp72	NZ_CP036558.1	CP036558	73.555	27.3292	72	-	-	-	74	2
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	lp72	NZ_CP036727.1	CP036727	73.494	27.3465	72	-	-	-	74	2
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	lp72	NZ_CP036915.1	CP036915	72.472	27.2381	69	-	-	-	71	2
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	lp72	NZ_CP037059.1	CP037059	73.682	27.3296	72	-	-	-	74	2
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	lp72	NZ_CP037216.1	CP037216	73.493	27.3251	71	-	-	-	73	2
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	lp72	NZ_CP037472.1	CP037472	72.444	27.25	72	-	-	-	74	2
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pIzh4-lp72	NZ_CP024391.1	CP024391	73.492	27.3418	71	-	-	-	73	2
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pIzh4-1	NZ_CP024392.1	-	70.082	27.7974	80	-	-	-	99	19
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pIzh4-lp41	NZ_CP024393.1	CP024393	41.127	28.8667	33	-	-	-	35	2
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pIzh4-3	NZ_CP024395.1	-	30.091	28.8392	42	-	-	-	42	-
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pIzh4-4	NZ_CP024396.1	-	28.667	31.4229	20	-	-	-	24	4
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pIzh4-lp23	NZ_CP024397.1	CP024397	27.717	31.5402	20	-	-	-	23	3
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pIzh4-5	NZ_CP024398.1	-	26.599	29.7455	30	-	-	-	30	-
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pIzh4-lp24	NZ_CP024399.2	CP024399	24.033	31.2778	15	-	-	-	19	4
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pIzh4-lp18-2	NZ_CP024400.2	CP024400	18.334	26.399	16	-	-	-	18	2
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pIzh4-lp64	NZ_CP024401.2	CP024401	64.141	26.6943	70	-	-	-	89	19
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pIzh4-11	NZ_CP024404.1	-	13.41	27.9717	9	-	-	-	10	1
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pIzh4-lp18-1	NZ_CP024405.2	CP024405	18.024	26.609	16	-	-	-	20	4
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pIzh4-lp6	NZ_CP024407.1	CP024407	5.851	25.4316	6	-	-	-	6	-
Borrelia miyamotoi	Bacteria	Spirochaetes	Spirochaetia	pIzh4-cp30-2	NZ_CP040828.1	CP040828	29.49	28.9759	41	-	-	-	41	-
